"crs_name","crs_id"
"ANTHRO27N","212299"
"ANTHRO28N","213423"
"ANTHRO30","109667"
"ANTHRO30Q","212358"
"ANTHRO31","210091"
"ANTHRO32","110119"
"ANTHRO34","215803"
"ANTHRO41","216607"
"ANTHRO42","216262"
"ANTHRO48S","216842"
"ANTHRO49","215501"
"ANTHRO54A","214819"
"ANTHRO82","110142"
"ANTHRO90B","110120"
"ANTHRO90C","111691"
"ANTHRO90D","109579"
"ANTHRO91","109693"
"ANTHRO91A","205478"
"ANTHRO92A","203281"
"ANTHRO92B","211023"
"ANTHRO93","110123"
"ANTHRO93B","204387"
"ANTHRO94","110124"
"ANTHRO95","110125"
"ANTHRO95B","200936"
"ANTHRO96","110127"
"ANTHRO97","109585"
"ANTHRO98B","202597"
"ANTHRO98C","217409"
"ANTHRO98E","202324"
"ANTHRO98F","211839"
"ANTHRO100A","205653"
"ANTHRO100B","214871"
"ANTHRO100D","216296"
"ANTHRO101","204565"
"ANTHRO101A","209057"
"ANTHRO101B","216263"
"ANTHRO101S","212809"
"ANTHRO102","213783"
"ANTHRO102A","202589"
"ANTHRO102B","215120"
"ANTHRO103","203291"
"ANTHRO103A","214726"
"ANTHRO105","204653"
"ANTHRO105A","214242"
"ANTHRO105B","213970"
"ANTHRO106","109560"
"ANTHRO106A","212753"
"ANTHRO108A","217393"
"ANTHRO108E","213857"
"ANTHRO109","204309"
"ANTHRO109A","216972"
"ANTHRO110A","211296"
"ANTHRO110B","200519"
"ANTHRO111","201459"
"ANTHRO111A","213914"
"ANTHRO111B","216476"
"ANTHRO112","212628"
"ANTHRO112B","213911"
"ANTHRO113","217148"
"ANTHRO113B","216180"
"ANTHRO114","109558"
"ANTHRO114A","217394"
"ANTHRO114B","214939"
"ANTHRO115","215806"
"ANTHRO115A","212748"
"ANTHRO115B","215373"
"ANTHRO116","211141"
"ANTHRO116B","217910"
"ANTHRO116C","201175"
"ANTHRO117","213780"
"ANTHRO117B","217923"
"ANTHRO118","211098"
"ANTHRO118A","215103"
"ANTHRO119","213776"
"ANTHRO119A","213557"
"ANTHRO120B","216458"
"ANTHRO121","109544"
"ANTHRO121A","210747"
"ANTHRO121B","217136"
"ANTHRO122A","216063"
"ANTHRO122C","216751"
"ANTHRO123","207822"
"ANTHRO124","207328"
"ANTHRO124N","215969"
"ANTHRO125","212385"
"ANTHRO125A","214580"
"ANTHRO125S","214493"
"ANTHRO126","207461"
"ANTHRO127","203287"
"ANTHRO127A","211142"
"ANTHRO128","212288"
"ANTHRO128A","217514"
"ANTHRO130A","207534"
"ANTHRO130B","209097"
"ANTHRO130D","211001"
"ANTHRO131","215273"
"ANTHRO132","213437"
"ANTHRO132B","216460"
"ANTHRO133A","215031"
"ANTHRO133B","216547"
"ANTHRO134","206252"
"ANTHRO134B","217223"
"ANTHRO135","110171"
"ANTHRO135A","211698"
"ANTHRO135H","209193"
"ANTHRO135I","210662"
"ANTHRO136","214023"
"ANTHRO137","211993"
"ANTHRO137A","214624"
"ANTHRO138","213009"
"ANTHRO138A","215277"
"ANTHRO138B","216376"
"ANTHRO139","206688"
"ANTHRO139A","213017"
"ANTHRO140","215812"
"ANTHRO140A","211467"
"ANTHRO141A","214549"
"ANTHRO141B","216243"
"ANTHRO142A","217487"
"ANTHRO143","214109"
"ANTHRO143B","215154"
"ANTHRO144A","213796"
"ANTHRO144B","217255"
"ANTHRO145","214854"
"ANTHRO145B","213624"
"ANTHRO146A","212927"
"ANTHRO146B","217121"
"ANTHRO147","209154"
"ANTHRO147A","204310"
"ANTHRO147B","216965"
"ANTHRO148","210079"
"ANTHRO149","212786"
"ANTHRO149A","214853"
"ANTHRO150","216913"
"ANTHRO150A","214802"
"ANTHRO151","202595"
"ANTHRO151A","215119"
"ANTHRO152","214938"
"ANTHRO152A","210224"
"ANTHRO153A","210450"
"ANTHRO154","212647"
"ANTHRO155","212747"
"ANTHRO156","217798"
"ANTHRO156B","216637"
"ANTHRO160","212634"
"ANTHRO160A","214154"
"ANTHRO161","204104"
"ANTHRO161A","213635"
"ANTHRO162","200902"
"ANTHRO163","204114"
"ANTHRO163A","216455"
"ANTHRO164","214911"
"ANTHRO164A","210203"
"ANTHRO164B","211163"
"ANTHRO165","209166"
"ANTHRO165A","210204"
"ANTHRO166","210232"
"ANTHRO167A","215113"
"ANTHRO167B","217149"
"ANTHRO168","213527"
"ANTHRO168A","211407"
"ANTHRO169","213629"
"ANTHRO169A","211317"
"ANTHRO170","216358"
"ANTHRO170A","217638"
"ANTHRO171","109534"
"ANTHRO171A","216752"
"ANTHRO172","211855"
"ANTHRO172B","217640"
"ANTHRO173","210223"
"ANTHRO174","109605"
"ANTHRO175","109552"
"ANTHRO176","212882"
"ANTHRO177","204551"
"ANTHRO178","214122"
"ANTHRO178A","213526"
"ANTHRO179","206685"
"ANTHRO179A","213881"
"ANTHRO180","110137"
"ANTHRO181A","211334"
"ANTHRO182","209188"
"ANTHRO182A","213882"
"ANTHRO182N","215499"
"ANTHRO183B","215381"
"ANTHRO184","212776"
"ANTHRO185","215274"
"ANTHRO185A","209088"
"ANTHRO186","215848"
